Tipo Titulo;Data Vencimento;Data Base;Taxa Compra Manha;Taxa Venda Manha;PU Compra Manha;PU Venda Manha;PU Base Manha
Tesouro Educa+;15/12/2038;14/10/2025;7,61;7,73;2100,59;2075,24;2075,24
Tesouro Educa+;15/12/2030;14/10/2025;8,32;8,44;3701,99;3689,9;3689,9
Tesouro Educa+;15/12/2042;14/10/2025;7,42;7,54;1609,76;1583,27;1583,27
Tesouro Educa+;15/12/2032;14/10/2025;8,03;8,15;3197,02;3179,55;3179,55
Tesouro Educa+;15/12/2035;14/10/2025;7,82;7,94;2575,79;2553,21;2553,21
Tesouro Educa+;15/12/2043;14/10/2025;7,39;7,51;1505,44;1479;1479
Tesouro Educa+;15/12/2041;14/10/2025;7,46;7,58;1719,97;1693,55;1693,55
Tesouro Educa+;15/12/2046;14/10/2025;7,31;7,43;1233,86;1208,14;1208,14
Tesouro Educa+;15/12/2047;14/10/2025;7,28;7,4;1156,71;1131,34;1131,34
Tesouro Educa+;15/12/2044;14/10/2025;7,36;7,48;1408,76;1382,48;1382,48
Tesouro Educa+;15/12/2031;14/10/2025;8,14;8,26;3439,86;3424,86;3424,86
Tesouro Selic;01/03/2028;13/10/2025;0,05;0,06;17535,17;17521,25;17521,25
;;;;;;;
Tesouro Selic;01/03/2029;13/10/2025;0,08;0,09;17508,2;17492,58;17492,58
Tesouro Selic;01/03/2031;13/10/2025;0,1;0,11;17457,94;17438,87;17438,87
Tesouro Selic;01/03/2027;13/10/2025;0,03;0,04;17549,48;17537,34;17537,34
Tesouro Prefixado;01/01/2028;13/10/2025;13,38;13,5;758,38;756,24;756,24
Tesouro Prefixado;01/01/2032;13/10/2025;13,87;13,99;448,43;445,29;445,29
Tesouro Prefixado;01/01/2027;13/10/2025;13,9;14,02;854,69;853,16;853,16
;;;;;;;
Tesouro Prefixado;01/01/2029;13/10/2025;13,42;13,54;669,46;666,88;666,88
